COD_UNIC,EAN,Name,Brand,Price,Stock,ProductURL,ImageURL,LastSeen,MissingCount
29702,8808993303878,"Incarcator Auto Cu Fir microUSB Samsung, 3.5W, 0.7A, Negru, Resigilat ACADU10CBECSTD",Samsung,1.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-incarcatoare/incarcator-auto-cu-fir-microusb-samsung-3-5w-0-7a-negru-resigilat-acadu10cbecstd,https://img.gsmnet.ro/600x600/products/91504/incarcator-auto-cu-fir-1-1719318144.jpg,2026-07-17 02:41:26,9
305252,6920680872428,"Handsfree USB-C XO Design EP29, Negru",XO Design,20.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-casti-audio/handsfree-usb-c-xo-design-ep29-negru,https://img.gsmnet.ro/600x600/products/168498/handsfree-casti-in-ear-xo-1-1614763707.jpg,2026-07-17 02:41:26,9
315454,6953156224148,Aspirator Auto Baseus A2  CRXCQA2-06 ,Baseus,114.99,0,https://www.gsmnet.ro/gadgeturi-accesorii-auto/aspirator-auto-baseus-a2-crxcqa2-06,https://img.gsmnet.ro/600x600/products/177569/aspirator-auto-baseus-a2-2-1644844828.jpg,2026-07-18 02:32:25,5
320580,9589046926327,"Incarcator Retea Wireless Tech-Protect C1, 15W, 1.67A, Alb THP1414",Tech-Protect,39.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-incarcatoare/incarcator-retea-wireless-tech-protect-c1-15w-1-67a-alb-thp1414,https://img.gsmnet.ro/600x600/products/182695/incarcator-retea-wireless-tech-protect-2-1665142144.jpg,2026-07-17 02:41:26,9
321440,6970211474560,Aparat de Masura Digital JIMI Home JM-G3401,JIMI Home,89.99,0,https://www.gsmnet.ro/aparatura-instrumente-service-aparate-masura/aparat-de-masura-digital-jimi-home-jm-g3401,https://img.gsmnet.ro/600x600/products/183555/aparat-de-masura-digital-1-1671100652.jpg,2026-07-18 02:32:25,5
322317,740617263442,"Solid State Drive (SSD) Kingston A400, 480GB,  2.5inch, SATA III SA400S37/480G",Kingston,489.99,0,https://www.gsmnet.ro/accesorii-pc-laptop-solutii-stocare/solid-state-drive-ssd-kingston-a400-480gb-2-5inch-sata-iii-sa400s37-480g,https://img.gsmnet.ro/600x600/products/184432/solid-state-drive-ssd-2-1674464679.jpg,2026-07-17 02:41:26,9
323867,9490713933459,"Folie de protectie Ecran Privacy HOFI PRO+ pentru Apple iPhone 11 / XR, Sticla Securizata, Full Glue",HOFI,19.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-privacy-hofi-pro-plus-pentru-apple-iphone-11-xr-sticla-securizata-full-glue,https://img.gsmnet.ro/600x600/products/185982/folie-protectie-ecran-hofi-2-1680606195.jpg,2026-07-17 02:41:26,9
324803,641956269839,"Display cu Touchscreen Motorola Moto G50 5G, cu Rama, Negru, Service Pack 5D68C18927 ",Motorola,99.99,0,https://www.gsmnet.ro/piese-componente-display-cu-touchscreen/display-cu-touchscreen-motorola-moto-g50-5g-cu-rama-negru-service-pack-5d68c18927,https://img.gsmnet.ro/600x600/products/186918/display-cu-touchscreen-motorola-1-1709549457.jpg,2026-07-18 02:32:25,5
324858,660982701793,"Capac Baterie Motorola Moto E13, Bej (Creamy White), Service Pack 5S58C22354 ",Motorola,0.99,0,https://www.gsmnet.ro/piese-componente-capace-baterie/capac-baterie-motorola-moto-e13-bej-creamy-white-service-pack-5s58c22354,https://img.gsmnet.ro/600x600/products/186973/capac-baterie-motorola-moto-1-1695995985.jpg,2026-07-18 02:32:25,5
329511,6920680851799,"Handsfree Bluetooth XO Design BE41, A2DP, ANC, Alb ",XO Design,65.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-casti-audio/handsfree-bluetooth-xo-design-be41-a2dp-anc-alb,https://img.gsmnet.ro/600x600/products/191628/handsfree-bluetooth-xo-design-4-1705657248.jpg,2026-07-17 02:41:26,9
329804,5907457723061,"Folie de protectie Ecran Matte OEM pentru Samsung Galaxy A35 5G A356, Sticla Securizata, Full Glue, 6D, Neagra ",OEM,7.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-matte-oem-pentru-samsung-galaxy-a35-5g-a356-sticla-securizata-full-glue-6d-neagra,https://img.gsmnet.ro/600x600/products/191922/folie-de-protectie-ecran-3-1709547798.jpg,2026-07-17 02:41:26,9
330578,6932172642631,"Folie de protectie Ecran Privacy Baseus Diamond pentru Apple iPhone 15 Pro, Sticla Securizata, Full Glue P60057405203-01 ",Baseus,28.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-privacy-baseus-diamond-pentru-apple-iphone-15-pro-sticla-securizata-full-glue-p60057405203-01,https://img.gsmnet.ro/600x600/products/192702/folie-de-protectie-ecran-3-1710426068.jpg,2026-07-17 02:41:26,9
330686,6920680830688,"Incarcator Retea XO Design L102, 35W, 3A, 2 x USB-C, Alb ",XO Design,27.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-incarcatoare/incarcator-retea-xo-design-l102-35w-3a-2-x-usb-c-alb,https://img.gsmnet.ro/600x600/products/192810/incarcator-retea-xo-design-1-1710431009.jpg,2026-07-17 02:41:26,9
331166,5907457723368,"Husa pentru Samsung Galaxy A25 A256, OEM, Glitter, Aurie ",OEM,3.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-huse/husa-pentru-samsung-galaxy-a25-a256-oem-glitter-aurie,https://img.gsmnet.ro/600x600/products/193290/husa-pentru-samsung-galaxy-1-1711111137.jpg,2026-07-17 02:41:26,9
331813,5904643047598,"Folie de protectie Ecran OEM pentru Samsung Galaxy A25 A256, Sticla Securizata, Full Glue, 21D, Neagra ",OEM,7.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-oem-pentru-samsung-galaxy-a25-a256-sticla-securizata-full-glue-21d-neagra,https://img.gsmnet.ro/600x600/products/193938/folie-de-protectie-ecran-1-1715174387.jpg,2026-07-17 02:41:26,9
332174,5903396285332,"Husa pentru Honor X8b, OEM, Ultra Slim, 0.5mm, Transparenta ",OEM,3.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-huse/husa-pentru-honor-x8b-oem-ultra-slim-0-5mm-transparenta,https://img.gsmnet.ro/600x600/products/194299/husa-pentru-honor-x8b-1-1716303331.jpg,2026-07-17 02:41:26,9
332382,5902280634768,"Folie de protectie Ecran OEM pentru Apple iPhone 12 Pro Max, Sticla Securizata, Full Glue, 21D, Neagra ",OEM,7.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-oem-pentru-apple-iphone-12-pro-max-sticla-securizata-full-glue-21d-neagra,https://img.gsmnet.ro/600x600/products/194507/folie-de-protectie-ecran-1-1717402916.jpg,2026-07-17 02:41:26,9
332971,5903396294532,"Folie de protectie Ecran Privacy OG Premium pentru Apple iPhone 11 / XR, Sticla Securizata, Full Glue ",OG,7.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-folii-protectie/folie-de-protectie-ecran-privacy-og-premium-pentru-apple-iphone-11-xr-sticla-securizata-full-glue,https://img.gsmnet.ro/600x600/products/195096/folie-de-protectie-ecran-1-1720618288.jpg,2026-07-17 02:41:26,9
333144,5904643049981,"Husa pentru Oppo Reno11 F, OEM, Smart Magnet, Bleumarin ",OEM,6.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-huse/husa-pentru-oppo-reno11-f-oem-smart-magnet-bleumarin,https://img.gsmnet.ro/600x600/products/195269/husa-pentru-oppo-reno11-1-1721224307.jpg,2026-07-17 02:41:26,9
333155,5903396298615,"Husa pentru Samsung Galaxy Z Fold6 F956, OEM, Focus, Aurie ",OEM,29.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-huse/husa-pentru-samsung-galaxy-z-fold6-f956-oem-focus-aurie,https://img.gsmnet.ro/600x600/products/195280/husa-pentru-samsung-galaxy-4-1721400363.jpg,2026-07-17 02:41:26,9
333386,6932172602628,"Hub USB-C Baseus Metal Gleam, 3 x USB-A - 1 x USB-C - 1 x HDMI, Gri WKWG020013",Baseus,129.99,0,https://www.gsmnet.ro/accesorii-pc-laptop-hub-uri/hub-usb-c-baseus-metal-gleam-3-x-usb-a-1-x-usb-c-1-x-hdmi-gri-wkwg020013,https://img.gsmnet.ro/600x600/products/195511/hub-usb-c-baseus-metal-2-1722323821.jpg,2026-07-18 02:32:25,5
333786,6941812777558,"Handsfree Bluetooth Xiaomi Redmi Buds 6 Active, TWS, Albastru BHR8394GL",Xiaomi,89.99,0,https://www.gsmnet.ro/wearables-audio-inclusiv-tws/handsfree-bluetooth-xiaomi-redmi-buds-6-active-tws-albastru-bhr8394gl,https://img.gsmnet.ro/600x600/products/195911/handsfree-bluetooth-xiaomi-redmi-1-1724311981.jpg,2026-07-17 02:41:26,9
