COD_UNIC,EAN,Name,Brand,Price,Stock,ProductURL,ImageURL,LastSeen,MissingCount
10352,8592118837224,"Acumulator Samsung, AB463651B",Aftermarket,36.99,0,https://www.gsmnet.ro/piese-componente-acumulatori/acumulator-samsung-ab463651b,https://img.gsmnet.ro/600x600/products/90508/acumulator-samsung-ab463651b-original-1427390775906.jpg,2026-08-03 14:39:56,0
105360,5900495064769,"Clips Plastic OEM PX, Negru",OEM,8.99,5,https://www.gsmnet.ro/aparatura-instrumente-service-instrumente-service/clips-plastic-oem-px-negru,https://img.gsmnet.ro/600x600/products/92823/1435570228_105360.jpg,2026-08-03 14:39:56,0
106635,0660982712744,"Ansamblu Buton Meniu Apple iPhone 6 / 6 Plus, cu banda, Negru",Aftermarket,2.99,5,https://www.gsmnet.ro/piese-componente-piese/ansamblu-buton-meniu-apple-iphone-6-6-plus-cu-banda-negru,https://img.gsmnet.ro/600x600/products/91964/buton-meniu-cu-senzor-1-1535454109.jpg,2026-08-03 14:39:56,0
106637,0660982712737,"Ansamblu Buton Meniu Apple iPhone 6 / 6 Plus, cu banda, Auriu",Aftermarket,2.99,5,https://www.gsmnet.ro/piese-componente-piese/ansamblu-buton-meniu-apple-iphone-6-6-plus-cu-banda-auriu,https://img.gsmnet.ro/600x600/products/91966/buton-meniu-cu-senzor-1-1535454096.jpg,2026-08-03 14:39:56,0
107449,8592118803410,Acumulator Apple iPhone 6,Aftermarket,34.99,5,https://www.gsmnet.ro/piese-componente-acumulatori/acumulator-apple-iphone-6,https://img.gsmnet.ro/600x600/products/91002/acumulator-apple-iphone-6-1-1727179551.jpg,2026-08-03 14:39:56,0
127895,0660982742802,"Penseta Antistatica Jakemy JM-T11, 3in1",Jakemy,21.99,0,https://www.gsmnet.ro/aparatura-instrumente-service-instrumente-service/penseta-antistatica-jakemy-jm-t11-3in1,https://img.gsmnet.ro/600x600/products/123043/1439805696_Set-pensete-Jakemy-JM-T11-Blister-1.jpg,2026-08-03 14:39:56,0
129450,5907156000166,"Spray Aer Comprimat Elektronic Spray, 800ml",Elektronic Spray,34.99,5,https://www.gsmnet.ro/aparatura-instrumente-service-protectie-intretinere/spray-aer-comprimat-elektronic-spray-800ml,https://img.gsmnet.ro/600x600/products/123494/spray-aer-comprimat-800ml-1-1543328121.jpg,2026-08-03 14:39:56,0
129462,5907156000890,"Alcool Izopropilic Elektronic Spray IPA60, 1l ART.089",Elektronic Spray,41.99,5,https://www.gsmnet.ro/aparatura-instrumente-service-piese-schimb-consumabile/alcool-izopropilic-elektronic-spray-ipa60-1l-art-089,https://img.gsmnet.ro/600x600/products/123497/solutie-curatare-izopropanol-ipa60-1-1544107627.jpg,2026-08-03 14:39:56,0
129552,6949639103024,Cleste Dezizolat Jakemy JM-CT4-12,Jakemy,23.99,5,https://www.gsmnet.ro/aparatura-instrumente-service-instrumente-service/cleste-dezizolat-jakemy-jm-ct4-12,https://img.gsmnet.ro/600x600/products/123537/1442255973_Cleste-decablat-Jakemy-JM-CT4-12-1.jpg,2026-08-03 14:39:56,0
145981,5900495389930,"Cititor Card USB / microUSB Forever, SD - microSD, Alb",Forever,7.99,0,https://www.gsmnet.ro/accesorii-pc-laptop-accesorii-usb/cititor-card-usb-microusb-forever-sd-microsd-alb,https://img.gsmnet.ro/600x600/products/125028/cititor-card-usb-microusb-otg-11453991253.jpg,2026-08-03 14:39:56,0
148506,5900495406804,"Suport Auto Setty Froggy, Universal, Negru",Setty,10.99,5,https://www.gsmnet.ro/accesorii-telefoane-tablete-suporturi-telefoane/suport-auto-setty-froggy-universal-negru,https://img.gsmnet.ro/600x600/products/125423/suport-auto-universal-setty-01453800680.jpg,2026-08-03 14:39:56,0
150805,5902280670353,"Acumulator ATX pentru Nokia 3310 (2017) / 230 / 225, BL-4UL ",ATX,29.99,5,https://www.gsmnet.ro/piese-componente-acumulatori/acumulator-atx-pentru-nokia-3310-2017-230-225-bl-4ul,https://img.gsmnet.ro/600x600/products/125668/acumulator-nokia-225-bl-4ul-1-1712760464.jpg,2026-08-03 14:39:56,0
15998,0660982726291,Conector Incarcare Nokia 8600 Luna,Aftermarket,4.99,0,https://www.gsmnet.ro/piese-componente-conectori-incarcare/conector-incarcare-nokia-8600-luna,https://img.gsmnet.ro/600x600/products/91363/conector-alimentare-nokia-8600-luna-original-1427392393690.jpg,2026-08-03 14:39:56,0
161809,5900495428486,"Adaptor Date si Incarcare microUSB - USB-C Forever, Negru",Forever,9.99,5,https://www.gsmnet.ro/accesorii-telefoane-tablete-cabluri-adaptori/adaptor-date-incarcare-microusb-usb-c-forever-negru,https://img.gsmnet.ro/600x600/products/126108/adaptor-otg-usb-type-c-01457696538.jpg,2026-08-03 14:39:56,0
164019,1923381105159,Statie Letcon Baku BK-936E,Baku,163.99,0,https://www.gsmnet.ro/aparatura-instrumente-service-aparatura-service/statie-letcon-baku-bk-936e,https://img.gsmnet.ro/600x600/products/126450/statie-ciocan-de-lipit-01460014916.jpg,2026-08-03 14:39:56,0
164510,5901737331465,"Husa pentru Samsung Galaxy J5 (2016) J510, OEM, Smart Magnet, Neagra",OEM,14.99,5,https://www.gsmnet.ro/accesorii-telefoane-tablete-huse/husa-pentru-samsung-galaxy-j5-2016-j510-oem-smart-magnet-neagra,https://img.gsmnet.ro/600x600/products/126629/husa-pentru-samsung-galaxy-4-1715084720.jpg,2026-08-03 14:39:56,0
164600,5901854602097,"Banda Adeziva 3M, 3mm, 25m, Transparenta",3M,25.99,5,https://www.gsmnet.ro/aparatura-instrumente-service-piese-schimb-consumabile/banda-adeziva-3m-3mm-25m-transparenta,https://img.gsmnet.ro/600x600/products/126719/banda-adeziva-3m-3mm-1-1784793029.jpg,2026-08-03 14:39:56,0
174886,0660982708846,"Buzzer Apple iPhone 6, Swap",Apple,1.99,5,https://www.gsmnet.ro/piese-componente-piese/buzzer-apple-iphone-6-swap,https://img.gsmnet.ro/600x600/products/127445/buzzer-apple-iphone-6-01470820056.jpg,2026-08-03 14:39:56,0
176905,0660982727557,Difuzor Apple iPhone 6s,Aftermarket,1.99,5,https://www.gsmnet.ro/piese-componente-piese/difuzor-apple-iphone-6s,https://img.gsmnet.ro/600x600/products/127647/difuzor-apple-iphone-6s-01473949463.jpg,2026-08-03 14:39:56,0
176906,0660982711945,Adeziv Acumulator Apple iPhone 7 Plus / 6s Plus / 6 Plus,Aftermarket,4.99,0,https://www.gsmnet.ro/piese-componente-suruburi-adezivi/adeziv-acumulator-apple-iphone-7-plus-6s-plus-6-plus,https://img.gsmnet.ro/600x600/products/127648/adeziv-acumulator-apple-iphone-01474017484.jpg,2026-08-03 14:39:56,0
179233,5900495447968,"Suport Auto Setty Froggy Long, Universal, Negru",Setty,11.99,0,https://www.gsmnet.ro/accesorii-telefoane-tablete-suporturi-telefoane/suport-auto-setty-froggy-long-universal-negru,https://img.gsmnet.ro/600x600/products/128014/suport-auto-universal-setty-01469530332.jpg,2026-08-03 14:39:56,0
185748,6901443115907,"Adaptor Date si Incarcare microUSB - USB-C Huawei AP52, Alb 4071259",Huawei,6.99,5,https://www.gsmnet.ro/accesorii-telefoane-tablete-cabluri-adaptori/adaptor-date-incarcare-microusb-usb-c-huawei-ap52-alb-4071259,https://img.gsmnet.ro/600x600/products/128551/adaptor-microusb-usb-01469709018.jpg,2026-08-03 14:39:56,0
190444,8595642239137,Acumulator Apple iPhone SE (2016),Aftermarket,44.99,0,https://www.gsmnet.ro/piese-componente-acumulatori/acumulator-apple-iphone-se-2016,https://img.gsmnet.ro/600x600/products/128869/acumulator-apple-iphone-se-01482487233.jpg,2026-08-03 14:39:56,0
194992,8592118817974,Conector Incarcare Samsung Galaxy J1 J100,Aftermarket,3.99,5,https://www.gsmnet.ro/piese-componente-conectori-incarcare/conector-incarcare-samsung-galaxy-j1-j100,https://img.gsmnet.ro/600x600/products/129618/conector-alimentare-date-01496926355.jpg,2026-08-03 14:39:56,0
206049,8595642219528,Acumulator Apple iPhone 6s,Aftermarket,38.99,5,https://www.gsmnet.ro/piese-componente-acumulatori/acumulator-apple-iphone-6s,https://img.gsmnet.ro/600x600/products/130114/acumulator-apple-iphone-6s-01482485593.jpg,2026-08-03 14:39:56,0
